date,name,matched_stories,all_candidate_stories,pct_of_all_candidate_stories,query
12/30/2018,Amy Klobuchar,45,806,0.055831266,"(""Amy Klobuchar"")"
1/6/2019,Amy Klobuchar,55,915,0.06010929,"(""Amy Klobuchar"")"
1/13/2019,Amy Klobuchar,128,1052,0.121673004,"(""Amy Klobuchar"")"
1/20/2019,Amy Klobuchar,55,1024,0.053710938,"(""Amy Klobuchar"")"
1/27/2019,Amy Klobuchar,74,1605,0.046105919,"(""Amy Klobuchar"")"
2/3/2019,Amy Klobuchar,143,1428,0.100140056,"(""Amy Klobuchar"")"
2/10/2019,Amy Klobuchar,411,1612,0.254962779,"(""Amy Klobuchar"")"
2/17/2019,Amy Klobuchar,256,1406,0.182076814,"(""Amy Klobuchar"")"
2/24/2019,Amy Klobuchar,169,1286,0.131415241,"(""Amy Klobuchar"")"
3/3/2019,Amy Klobuchar,242,1485,0.162962963,"(""Amy Klobuchar"")"
3/10/2019,Amy Klobuchar,185,1810,0.102209945,"(""Amy Klobuchar"")"
3/17/2019,Amy Klobuchar,223,1591,0.140163419,"(""Amy Klobuchar"")"
3/24/2019,Amy Klobuchar,167,1166,0.1432247,"(""Amy Klobuchar"")"
3/31/2019,Amy Klobuchar,150,1714,0.087514586,"(""Amy Klobuchar"")"
4/7/2019,Amy Klobuchar,192,1600,0.12,"(""Amy Klobuchar"")"
4/14/2019,Amy Klobuchar,190,1936,0.098140496,"(""Amy Klobuchar"")"
4/21/2019,Amy Klobuchar,251,2320,0.108189655,"(""Amy Klobuchar"")"
4/28/2019,Amy Klobuchar,191,1834,0.104143948,"(""Amy Klobuchar"")"
5/5/2019,Amy Klobuchar,148,1577,0.093849081,"(""Amy Klobuchar"")"
5/12/2019,Amy Klobuchar,165,1952,0.084528689,"(""Amy Klobuchar"")"
5/19/2019,Amy Klobuchar,157,1580,0.099367089,"(""Amy Klobuchar"")"
5/26/2019,Amy Klobuchar,128,1474,0.086838535,"(""Amy Klobuchar"")"
6/2/2019,Amy Klobuchar,143,1652,0.086561743,"(""Amy Klobuchar"")"
6/9/2019,Amy Klobuchar,235,2049,0.114690093,"(""Amy Klobuchar"")"
6/16/2019,Amy Klobuchar,155,1882,0.082359192,"(""Amy Klobuchar"")"
6/23/2019,Amy Klobuchar,548,3561,0.153889357,"(""Amy Klobuchar"")"
6/30/2019,Amy Klobuchar,151,1672,0.090311005,"(""Amy Klobuchar"")"
7/7/2019,Amy Klobuchar,131,1880,0.069680851,"(""Amy Klobuchar"")"
7/14/2019,Amy Klobuchar,167,1802,0.092674806,"(""Amy Klobuchar"")"
7/21/2019,Amy Klobuchar,121,1414,0.085572843,"(""Amy Klobuchar"")"
7/28/2019,Amy Klobuchar,406,3210,0.126479751,"(""Amy Klobuchar"")"
8/4/2019,Amy Klobuchar,161,1937,0.083118224,"(""Amy Klobuchar"")"
8/11/2019,Amy Klobuchar,102,1513,0.06741573,"(""Amy Klobuchar"")"
8/18/2019,Amy Klobuchar,123,1451,0.084769125,"(""Amy Klobuchar"")"
8/25/2019,Amy Klobuchar,85,950,0.089473684,"(""Amy Klobuchar"")"
9/1/2019,Amy Klobuchar,142,1309,0.108479756,"(""Amy Klobuchar"")"
9/8/2019,Amy Klobuchar,367,1957,0.187531937,"(""Amy Klobuchar"")"
9/15/2019,Amy Klobuchar,211,2071,0.101883148,"(""Amy Klobuchar"")"
9/22/2019,Amy Klobuchar,110,3682,0.029875068,"(""Amy Klobuchar"")"
9/29/2019,Amy Klobuchar,94,3355,0.028017884,"(""Amy Klobuchar"")"
10/6/2019,Amy Klobuchar,121,2459,0.049206995,"(""Amy Klobuchar"")"
10/13/2019,Amy Klobuchar,382,2788,0.137015782,"(""Amy Klobuchar"")"
10/20/2019,Amy Klobuchar,175,1994,0.08776329,"(""Amy Klobuchar"")"
12/30/2018,Andrew Yang,2,806,0.00248139,"(""Andrew Yang"")"
1/6/2019,Andrew Yang,6,915,0.006557377,"(""Andrew Yang"")"
1/13/2019,Andrew Yang,9,1052,0.008555133,"(""Andrew Yang"")"
1/20/2019,Andrew Yang,7,1024,0.006835938,"(""Andrew Yang"")"
1/27/2019,Andrew Yang,14,1605,0.008722741,"(""Andrew Yang"")"
2/3/2019,Andrew Yang,11,1428,0.007703081,"(""Andrew Yang"")"
2/10/2019,Andrew Yang,28,1612,0.017369727,"(""Andrew Yang"")"
2/17/2019,Andrew Yang,13,1406,0.009246088,"(""Andrew Yang"")"
2/24/2019,Andrew Yang,12,1286,0.00933126,"(""Andrew Yang"")"
3/3/2019,Andrew Yang,27,1485,0.018181818,"(""Andrew Yang"")"
3/10/2019,Andrew Yang,37,1810,0.020441989,"(""Andrew Yang"")"
